temp_bin,temp_left_c,temp_right_c,n_rows,n_clear,n_cloudy,accuracy,clear_precision,clear_recall,clear_f1,cloudy_precision,cloudy_recall,cloudy_f1,macro_f1,status,leaf_id,rule,prediction,prediction_label,leaf_clear_weight,leaf_cloudy_weight
"[-15, -10)",-15.0,-10.0,1389,1048,341,0.9683908045977012,0.9772727272727272,0.9809885931558936,0.9791271347248576,0.9404761904761904,0.9294117647058824,0.9349112426035504,0.957019188664204,trained,2,red <= 0.43538709 and red <= 0.37666512,0,clear,1.0,0.0
"[-15, -10)",-15.0,-10.0,1389,1048,341,0.9683908045977012,0.9772727272727272,0.9809885931558936,0.9791271347248576,0.9404761904761904,0.9294117647058824,0.9349112426035504,0.957019188664204,trained,3,red <= 0.43538709 and red > 0.37666512,0,clear,0.9141857668622236,0.0858142331377764
"[-15, -10)",-15.0,-10.0,1389,1048,341,0.9683908045977012,0.9772727272727272,0.9809885931558936,0.9791271347248576,0.9404761904761904,0.9294117647058824,0.9349112426035504,0.957019188664204,trained,5,red > 0.43538709 and blue <= 0.16018305,0,clear,0.6275502135062471,0.372449786493753
"[-15, -10)",-15.0,-10.0,1389,1048,341,0.9683908045977012,0.9772727272727272,0.9809885931558936,0.9791271347248576,0.9404761904761904,0.9294117647058824,0.9349112426035504,0.957019188664204,trained,6,red > 0.43538709 and blue > 0.16018305,1,cloudy,0.0206878090418251,0.9793121909581748
"[-10, -5)",-10.0,-5.0,2466,1490,976,0.9076175040518638,0.93646408839779,0.9088471849865952,0.9224489795918368,0.8666666666666667,0.9057377049180328,0.8857715430861723,0.9041102613390044,trained,2,red <= 0.39502305 and red <= 0.33154848,0,clear,0.9578068315914656,0.0421931684085362
"[-10, -5)",-10.0,-5.0,2466,1490,976,0.9076175040518638,0.93646408839779,0.9088471849865952,0.9224489795918368,0.8666666666666667,0.9057377049180328,0.8857715430861723,0.9041102613390044,trained,3,red <= 0.39502305 and red > 0.33154848,0,clear,0.7083326933415252,0.291667306658474
"[-10, -5)",-10.0,-5.0,2466,1490,976,0.9076175040518638,0.93646408839779,0.9088471849865952,0.9224489795918368,0.8666666666666667,0.9057377049180328,0.8857715430861723,0.9041102613390044,trained,5,red > 0.39502305 and blue <= 0.14164758,0,clear,0.817972296589454,0.182027703410546
"[-10, -5)",-10.0,-5.0,2466,1490,976,0.9076175040518638,0.93646408839779,0.9088471849865952,0.9224489795918368,0.8666666666666667,0.9057377049180328,0.8857715430861723,0.9041102613390044,trained,6,red > 0.39502305 and blue > 0.14164758,1,cloudy,0.0704298213388721,0.9295701786611302
"[-5, 0)",-5.0,0.0,2300,1146,1154,0.9113043478260868,0.972,0.8466898954703833,0.905027932960894,0.8646153846153846,0.9756944444444444,0.9168026101141924,0.9109152715375431,trained,2,red <= 0.35636428 and blue <= 0.32082844,0,clear,0.9653729991875802,0.0346270008124178
"[-5, 0)",-5.0,0.0,2300,1146,1154,0.9113043478260868,0.972,0.8466898954703833,0.905027932960894,0.8646153846153846,0.9756944444444444,0.9168026101141924,0.9109152715375431,trained,3,red <= 0.35636428 and blue > 0.32082844,1,cloudy,0.3792673046182146,0.6207326953817862
"[-5, 0)",-5.0,0.0,2300,1146,1154,0.9113043478260868,0.972,0.8466898954703833,0.905027932960894,0.8646153846153846,0.9756944444444444,0.9168026101141924,0.9109152715375431,trained,5,red > 0.35636428 and blue <= 0.19891047,1,cloudy,0.4380433389760773,0.5619566610239213
"[-5, 0)",-5.0,0.0,2300,1146,1154,0.9113043478260868,0.972,0.8466898954703833,0.905027932960894,0.8646153846153846,0.9756944444444444,0.9168026101141924,0.9109152715375431,trained,6,red > 0.35636428 and blue > 0.19891047,1,cloudy,0.0600591807169487,0.9399408192830482
"[0, 5)",0.0,5.0,1397,910,487,0.9571428571428572,0.9775784753363228,0.956140350877193,0.966740576496674,0.9212598425196852,0.9590163934426228,0.9397590361445785,0.9532498063206264,trained,2,blue <= 0.2421193 and red <= 0.53173041,0,clear,0.949774155538099,0.0502258444619013
"[0, 5)",0.0,5.0,1397,910,487,0.9571428571428572,0.9775784753363228,0.956140350877193,0.966740576496674,0.9212598425196852,0.9590163934426228,0.9397590361445785,0.9532498063206264,trained,3,blue <= 0.2421193 and red > 0.53173041,1,cloudy,0.1557964828410449,0.8442035171589554
"[0, 5)",0.0,5.0,1397,910,487,0.9571428571428572,0.9775784753363228,0.956140350877193,0.966740576496674,0.9212598425196852,0.9590163934426228,0.9397590361445785,0.9532498063206264,trained,5,blue > 0.2421193 and red <= 0.36444278,1,cloudy,0.3705583756345177,0.6294416243654827
"[0, 5)",0.0,5.0,1397,910,487,0.9571428571428572,0.9775784753363228,0.956140350877193,0.966740576496674,0.9212598425196852,0.9590163934426228,0.9397590361445785,0.9532498063206264,trained,6,blue > 0.2421193 and red > 0.36444278,1,cloudy,0.005543995017999,0.9944560049820008
"[5, 10)",5.0,10.0,1040,586,454,0.8730769230769231,0.8958333333333334,0.8775510204081632,0.8865979381443299,0.8448275862068966,0.8672566371681416,0.8558951965065502,0.87124656732544,trained,2,blue <= 0.24474474 and blue <= 0.16980178,0,clear,1.0,0.0
"[5, 10)",5.0,10.0,1040,586,454,0.8730769230769231,0.8958333333333334,0.8775510204081632,0.8865979381443299,0.8448275862068966,0.8672566371681416,0.8558951965065502,0.87124656732544,trained,3,blue <= 0.24474474 and blue > 0.16980178,0,clear,0.7476370636756186,0.2523629363243806
"[5, 10)",5.0,10.0,1040,586,454,0.8730769230769231,0.8958333333333334,0.8775510204081632,0.8865979381443299,0.8448275862068966,0.8672566371681416,0.8558951965065502,0.87124656732544,trained,5,blue > 0.24474474 and green <= 0.23063865,0,clear,0.6444384449244062,0.3555615550755941
"[5, 10)",5.0,10.0,1040,586,454,0.8730769230769231,0.8958333333333334,0.8775510204081632,0.8865979381443299,0.8448275862068966,0.8672566371681416,0.8558951965065502,0.87124656732544,trained,6,blue > 0.24474474 and green > 0.23063865,1,cloudy,0.1078992518422682,0.8921007481577339
"[10, 15)",10.0,15.0,1016,458,558,0.7992125984251969,0.872093023255814,0.6521739130434783,0.746268656716418,0.7619047619047619,0.920863309352518,0.8338762214983714,0.7900724391073947,trained,2,green <= 0.22901448 and blue <= 0.19007109,1,cloudy,0.0,1.0
"[10, 15)",10.0,15.0,1016,458,558,0.7992125984251969,0.872093023255814,0.6521739130434783,0.746268656716418,0.7619047619047619,0.920863309352518,0.8338762214983714,0.7900724391073947,trained,3,green <= 0.22901448 and blue > 0.19007109,0,clear,0.9080063939579236,0.0919936060420755
"[10, 15)",10.0,15.0,1016,458,558,0.7992125984251969,0.872093023255814,0.6521739130434783,0.746268656716418,0.7619047619047619,0.920863309352518,0.8338762214983714,0.7900724391073947,trained,5,green > 0.22901448 and blue <= 0.20790567,0,clear,1.0,0.0
"[10, 15)",10.0,15.0,1016,458,558,0.7992125984251969,0.872093023255814,0.6521739130434783,0.746268656716418,0.7619047619047619,0.920863309352518,0.8338762214983714,0.7900724391073947,trained,6,green > 0.22901448 and blue > 0.20790567,1,cloudy,0.2621924987289307,0.7378075012710728
"[15, 20)",15.0,20.0,144,92,52,0.8888888888888888,0.88,0.9565217391304348,0.9166666666666666,0.9090909090909092,0.7692307692307693,0.8333333333333334,0.875,trained,2,red <= 0.37351143 and green <= 0.24151888,0,clear,1.0,0.0
"[15, 20)",15.0,20.0,144,92,52,0.8888888888888888,0.88,0.9565217391304348,0.9166666666666666,0.9090909090909092,0.7692307692307693,0.8333333333333334,0.875,trained,3,red <= 0.37351143 and green > 0.24151888,0,clear,0.764705882352941,0.2352941176470587
"[15, 20)",15.0,20.0,144,92,52,0.8888888888888888,0.88,0.9565217391304348,0.9166666666666666,0.9090909090909092,0.7692307692307693,0.8333333333333334,0.875,trained,5,red > 0.37351143 and blue <= 0.49667853,1,cloudy,0.0,1.0
"[15, 20)",15.0,20.0,144,92,52,0.8888888888888888,0.88,0.9565217391304348,0.9166666666666666,0.9090909090909092,0.7692307692307693,0.8333333333333334,0.875,trained,6,red > 0.37351143 and blue > 0.49667853,1,cloudy,0.1585365853658537,0.8414634146341463
